"","ID","STIK_1","STIK_2","STIK_3","STIK_4","STIK_5","STIK_6","STIK_7","STIK_8","STIK_9","STIK_10","STIK_11","STIK_12","STIK_13","STIK_14","STIK_15","STIK_16","STIK_17","STIK_18","STIK_19","Stigma_Shame_1","Stigma_Shame_2","Stigma_Shame_3","Stigma_Shame_4","Stigma_Shame_5","Stigma_Shame_6","Stigma_Shame_7","Stigma_Shame_8","Stigma_Shame_9","Stigma_Shame_10","Stigma_Shame_11","Stigma_Shame_12","Stigma_Shame_13","Stigma_Shame_14","SSE_1","SSE_2","SSE_3","SSE_4","SSE_5","SSE_6","Comfort_1","Comfort_2","Comfort_3","Comfort_4","Comfort_5","Comfort_6","Comfort_7","Comfort_8","Comfort_9","SexGuilt_1","SexGuilt_2","SexGuilt_3","SexGuilt_4","SexGuilt_5","SexGuilt_6","SexGuilt_7","SexGuilt_8","SexGuilt_9","SexGuilt_10","STI_ShameInter","STI_StigmaInter","SSE_ScaleInter","Comfort_ScaleInter","SexGuilt_1R","SexGuilt_2R","SexGuilt_6R","SexGuilt_8R","SexGuilt_10R","Guilt_ScaleInter"
"1","60e0b15dccbc6604238cac5e",2,2,2,1,1,1,2,1,1,1,2,1,2,1,1,3,2,2,2,3,3,3,1,3,2,1,1,1,1,1,2,3,1,4,4,4,4,4,4,4,3,4,4,3,4,4,4,3,4,3,2,1,2,3,1,3,1,4,2.28571428571429,1.42857142857143,4,3.66666666666667,1,2,2,2,1,1.6
"2","5c5d43a4044f100001a4a3b5",1,2,2,1,2,3,2,1,3,3,2,1,2,1,1,2,3,2,2,2,4,2,2,3,4,2,2,3,3,3,3,3,2,4,4,4,4,4,4,2,1,3,3,2,2,2,2,2,2,2,4,2,3,3,2,2,3,3,2.71428571428571,2.71428571428571,4,2.11111111111111,3,3,2,3,2,2.6
"3","6098336bddca68c548a216cc",2,2,2,1,3,3,2,1,1,1,2,1,2,1,2,3,2,2,2,2,3,3,2,3,3,2,2,2,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,3,2,3,2,3,2.57142857142857,2.14285714285714,3,3,2,2,2,2,2,2.1
"4","615a467c27de6e4429303e72",2,2,1,1,3,1,2,1,3,1,2,1,2,1,1,1,2,2,2,2,3,2,2,3,1,2,2,1,1,1,1,2,1,4,4,4,3,4,4,3,4,3,3,4,3,4,3,4,4,4,2,1,3,3,2,4,2,4,2.14285714285714,1.28571428571429,3.83333333333333,3.44444444444444,1,1,2,1,1,1.9
"5","60fffd38fb394ffb6ce8e81b",2,2,2,1,1,1,2,1,1,1,2,1,2,1,1,2,2,2,2,3,3,3,3,3,3,3,1,2,2,3,3,3,2,3,4,3,3,3,4,4,3,3,3,3,2,3,3,3,4,4,2,2,2,3,2,3,2,4,3,2.28571428571429,3.33333333333333,3,1,1,2,2,1,1.8
"6","60f740c8aa4b9c62a09e77ab",2,2,2,1,3,3,2,1,2,1,2,1,2,1,2,1,2,2,2,3,4,3,4,4,3,2,1,1,1,3,2,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,2,3,3,3,1,3,1,4,3.28571428571429,1.71428571428571,4,4,2,1,2,2,1,1.9
"7","60fd1eb55069bee2642599f3",3,2,2,1,1,1,3,1,1,1,2,3,2,1,3,3,2,2,2,3,3,2,2,3,3,3,3,1,1,2,1,2,1,4,4,4,4,4,4,3,3,3,2,3,3,2,3,3,4,4,3,2,3,3,3,3,1,3,2.71428571428571,1.57142857142857,4,2.77777777777778,1,1,2,2,2,2.1
"8","6017f6742d7cc9ad4f98fb4d",2,2,2,1,1,1,2,1,1,1,2,2,2,1,1,3,2,2,3,3,3,3,3,3,4,3,2,2,2,2,3,3,3,3,4,3,3,4,4,2,2,2,3,3,3,3,3,3,3,2,3,3,3,3,2,3,2,3,3.14285714285714,2.42857142857143,3.5,2.66666666666667,2,3,2,2,2,2.5
"9","628fc75b2561940f60f57b37",2,2,2,1,1,1,2,2,2,1,2,1,2,1,1,2,2,2,2,2,2,2,3,1,2,2,1,1,1,2,1,2,2,3,4,4,4,4,4,3,3,4,4,3,3,3,3,4,3,3,2,3,3,4,1,3,1,3,2,1.42857142857143,3.83333333333333,3.33333333333333,2,2,1,2,2,2
"10","60b7bdf3754d03b430108e5f",2,2,2,1,1,2,2,1,1,1,2,1,2,1,1,2,2,2,2,2,2,2,2,3,3,2,1,1,1,1,1,1,1,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,2.28571428571429,1,4,3,2,1,2,2,2,2.5
"11","605371c1df2f273f36a04edd",2,2,2,1,1,1,2,1,3,1,2,3,2,1,3,3,3,3,2,4,4,4,4,4,4,4,4,4,2,2,4,4,4,2,3,2,2,3,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,4,3.42857142857143,2.16666666666667,1.88888888888889,2,3,3,3,3,2.3
"12","5f316f0da83a0b01320e9be3",2,2,2,1,1,1,2,1,2,1,2,1,2,1,1,1,2,2,1,2,3,3,4,3,3,2,3,1,1,1,1,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,1,4,2,4,4,4,4,3,2.85714285714286,1.85714285714286,3.83333333333333,3.77777777777778,1,1,1,1,2,2.4
"13","5f885425b61b8e2df8459441",2,2,2,1,1,1,2,1,1,1,2,1,2,1,2,3,2,2,2,3,4,3,2,4,3,3,2,2,1,1,1,3,3,4,4,4,4,4,4,3,2,3,3,3,3,3,4,3,4,4,2,2,2,3,2,4,1,4,3.14285714285714,1.85714285714286,4,3,1,1,2,1,1,1.8
"14","6114f85b9916acbb4122f30b",2,2,2,1,1,1,2,1,2,1,2,3,2,1,1,1,2,2,2,3,3,3,2,3,2,3,2,1,1,2,2,3,2,4,4,4,4,4,4,3,2,3,3,3,2,3,3,3,4,3,2,1,3,4,2,4,1,4,2.71428571428571,1.85714285714286,4,2.77777777777778,1,2,1,1,1,1.8
"15","5ea05e718c96a9018b854508",2,2,2,1,1,1,2,2,1,1,2,2,2,1,1,3,2,2,2,2,3,3,3,4,3,2,2,2,1,2,2,2,1,4,4,4,4,3,4,3,3,3,3,2,3,2,3,3,3,3,3,3,4,3,3,3,1,3,2.85714285714286,1.71428571428571,3.83333333333333,2.77777777777778,2,2,2,2,2,2.5
"16","5cf43f9c83416100197cf4a9",2,2,2,1,3,1,2,1,1,1,2,1,3,1,1,3,2,2,2,3,4,3,3,4,3,2,2,3,1,1,2,3,1,4,4,4,4,4,4,4,3,4,3,4,4,4,4,3,4,4,3,2,1,4,1,4,2,4,3.14285714285714,1.85714285714286,4,3.66666666666667,1,1,1,1,1,1.7
"17","5d91307d57e440001a07ad75",2,2,2,1,3,1,2,1,2,3,2,1,2,1,1,1,2,2,2,3,3,3,3,3,3,3,3,2,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,2,3,2,3,3,2.57142857142857,3,3,2,2,2,2,2,2.1
"18","606dc9d8b666d8ce1dc6167b",2,2,2,1,1,1,2,1,1,1,2,1,2,1,1,3,2,2,3,3,3,3,2,3,3,3,2,1,1,2,2,2,2,4,4,4,4,4,4,3,2,3,3,3,3,4,3,3,3,3,3,2,2,3,2,3,1,3,2.85714285714286,1.71428571428571,4,3,2,2,2,2,2,2.1
"19","606f7c477740aa708877c818",2,2,2,1,1,3,2,1,1,1,2,3,2,1,1,3,2,2,3,3,3,3,2,3,3,3,2,2,1,3,2,3,2,4,3,4,4,3,3,4,3,4,3,3,3,4,3,4,4,4,2,3,2,3,2,4,1,4,2.85714285714286,2.14285714285714,3.5,3.44444444444444,1,1,2,1,1,1.9
